Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"""Weather Description_Mainly clear, partly cloudy, and overcast""","""Weather Description_Rain showers: Slight, moderate, and violent""",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO
2024-12-01 08:00:46,29.14306465,74.99544289,5.054286528,3,0,0,0,0,
2024-12-01 08:06:33,29.14192538,75.00085446,5.052321276,3,0,0,0,0,
2024-12-01 08:12:00,29.1407861,75.00626602,5.050356024,3,0,0,0,0,
2024-12-01 08:18:54,29.13964682,75.01167758,5.048390772,3,0,0,0,0,
2024-12-01 08:24:54,29.13850755,75.01708915,5.04642552,3,0,0,0,0,
2024-12-01 08:30:25,29.13736827,75.02250071,5.044460268,3,0,0,0,0,
2024-12-01 08:36:42,29.13622899,75.02791228,5.042495016,3,0,0,0,0,
2024-12-01 08:42:09,29.13508972,75.03332384,5.040529764,3,0,0,0,0,
2024-12-01 08:48:29,29.13395044,75.0387354,5.038564512,3,0,0,0,0,
2024-12-01 08:54:49,29.13281116,75.04414697,5.036599259,3,0,0,0,0,
2024-12-01 09:00:17,29.13167189,75.04955853,5.034634007,3,0,0,0,0,
2024-12-01 09:06:16,29.13053261,75.05497009,5.032668755,3,0,0,0,0,
2024-12-01 09:12:25,29.12939334,75.06038166,5.030703503,3,0,0,0,0,
2024-12-01 09:18:07,29.12825406,75.06579322,5.028738251,3,0,0,0,0,
2024-12-01 09:24:46,29.12711478,75.07120478,5.026772999,3,0,0,0,0,
2024-12-01 09:30:39,29.12597551,75.07661635,5.024807747,3,0,0,0,0,
2024-12-01 09:36:48,29.12483623,75.08202791,5.022842495,3,0,0,0,0,
2024-12-01 09:42:11,29.12369695,75.08743948,5.020877243,3,0,0,0,0,
2024-12-01 09:48:26,29.12255768,75.09285104,5.018911991,3,0,0,0,0,
2024-12-01 09:54:07,29.1214184,75.0982626,5.016946739,3,0,0,0,0,
2024-12-01 10:00:24,29.12027912,75.10367417,5.014981487,3,0,0,0,0,
2024-12-01 10:06:45,29.11913985,75.10908573,5.013016235,3,0,0,0,0,
2024-12-01 10:12:03,29.11800057,75.11449729,5.011050983,3,0,0,0,0,
2024-12-01 10:18:32,29.11686129,75.11990886,5.009085731,3,0,0,0,0,
2024-12-01 10:24:00,29.11572202,75.12532042,5.007120478,3,0,0,0,0,
2024-12-01 10:30:18,29.11458274,75.13073199,5.005155226,3,0,0,0,0,
2024-12-01 10:36:30,29.11344346,75.13614355,5.003189974,3,0,0,0,0,
2024-12-01 10:42:15,29.11230419,75.14155511,5.001224722,3,0,0,0,0,
2024-12-01 10:48:13,29.11116491,75.14696668,4.99925947,3,0,0,0,0,
2024-12-01 10:54:52,29.11002563,75.15237824,4.997294218,3,0,0,0,0,
2024-12-01 11:00:47,29.10888636,75.1577898,4.995328966,3,0,0,0,0,
2024-12-01 11:06:04,29.10774708,75.16320137,4.993363714,3,0,0,0,0,
2024-12-01 11:12:40,29.1066078,75.16861293,4.991398462,3,0,0,0,0,
2024-12-01 11:18:25,29.10546853,75.17402449,4.98943321,3,0,0,0,0,
2024-12-01 11:24:27,29.10432925,75.17943606,4.987467958,3,0,0,0,0,
2024-12-01 11:30:01,29.10318997,75.18484762,4.985502706,3,0,0,0,0,
2024-12-01 11:36:49,29.1020507,75.19025919,4.983537454,3,0,0,0,0,
2024-12-01 11:42:05,29.10091142,75.19567075,4.981572202,3,0,0,0,0,
2024-12-01 11:48:08,29.09977214,75.20108231,4.97960695,3,0,0,0,0,
2024-12-01 11:54:32,29.09863287,75.20649388,4.977641698,3,0,0,0,0,
2024-12-01 12:00:40,29.09749359,75.21190544,4.975676445,3,0,0,0,0,
2024-12-01 12:06:24,29.09635432,75.217317,4.973711193,3,0,0,0,0,
2024-12-01 12:12:47,29.09521504,75.22272857,4.971745941,3,0,0,0,0,
2024-12-01 12:18:12,29.09407576,75.22814013,4.969780689,3,0,0,0,0,
2024-12-01 12:24:08,29.09293649,75.23355169,4.967815437,3,0,0,0,0,
2024-12-01 12:30:52,29.09179721,75.23896326,4.965850185,3,0,0,0,0,
2024-12-01 12:36:12,29.09065793,75.24437482,4.963884933,3,0,0,0,0,
2024-12-01 12:42:30,29.08951866,75.24978639,4.961919681,3,0,0,0,0,
2024-12-01 12:48:40,29.08837938,75.25519795,4.959954429,3,0,0,0,0,
2024-12-01 12:54:10,29.0872401,75.26060951,4.957989177,3,0,0,0,0,
2024-12-01 13:00:03,29.08610083,75.26602108,4.956023925,3,0,0,0,0,
2024-12-01 13:06:33,29.08496155,75.27143264,4.954058673,3,0,0,0,0,
2024-12-01 13:12:37,29.08382227,75.2768442,4.952093421,3,0,0,0,0,
2024-12-01 13:18:45,29.082683,75.28225577,4.950128169,3,0,0,0,0,
2024-12-01 13:24:03,29.08154372,75.28766733,4.948162917,3,0,0,0,0,
2024-12-01 13:30:37,29.08040444,75.29307889,4.946197664,3,0,0,0,0,
2024-12-01 13:36:18,29.07926517,75.29849046,4.944232412,3,0,0,0,0,
2024-12-01 13:42:05,29.07812589,75.30390202,4.94226716,3,0,0,0,0,
2024-12-01 13:48:33,29.07698661,75.30931359,4.940301908,3,0,0,0,0,
2024-12-01 13:54:17,29.07584734,75.31472515,4.938336656,3,0,0,0,0,
2024-12-01 14:00:12,29.07470806,75.32013671,4.936371404,3,0,0,0,0,
2024-12-01 14:06:40,29.07356878,75.32554828,4.934406152,3,0,0,0,0,
2024-12-01 14:12:22,29.07242951,75.33095984,4.9324409,3,0,0,0,0,
2024-12-01 14:18:18,29.07129023,75.3363714,4.930475648,3,0,0,0,0,
2024-12-01 14:24:44,29.07015095,75.34178297,4.928510396,3,0,0,0,0,
2024-12-01 14:30:10,29.06901168,75.34719453,4.926545144,3,0,0,0,0,
2024-12-01 14:36:00,29.0678724,75.3526061,4.924579892,3,0,0,0,0,
2024-12-01 14:42:23,29.06673312,75.35801766,4.92261464,3,0,0,0,0,
2024-12-01 14:48:53,29.06559385,75.36342922,4.920649388,3,0,0,0,0,
2024-12-01 14:54:06,29.06445457,75.36884079,4.918684136,3,0,0,0,0,
2024-12-01 15:00:24,29.06331529,75.37425235,4.916718884,3,0,0,0,0,
