Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"""Weather Description_Mainly clear, partly cloudy, and overcast""","""Weather Description_Rain showers: Slight, moderate, and violent""",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO
2024-11-01 08:00:38,32.21911136,60.38422102,10.3604671,3,0,0,0,0,452.341
2024-11-01 08:06:51,32.21797209,60.38963258,10.35850185,3,0,0,0,0,436.923
2024-11-01 08:12:28,32.21683281,60.39504415,10.3565366,3,0,0,0,0,437.202
2024-11-01 08:18:14,32.21569353,60.40045571,10.35457135,3,0,0,0,0,464.476
2024-11-01 08:24:42,32.21455426,60.40586727,10.3526061,3,0,0,0,0,450.478
2024-11-01 08:30:07,32.21341498,60.41127884,10.35064084,3,0,0,0,0,439.202
2024-11-01 08:36:20,32.2122757,60.4166904,10.34867559,3,0,0,0,0,442.749
2024-11-01 08:42:38,32.21113643,60.42210197,10.34671034,3,0,0,0,0,453.554
2024-11-01 08:48:57,32.20999715,60.42751353,10.34474509,3,0,0,0,0,437.334
2024-11-01 08:54:18,32.20885788,60.43292509,10.34277983,3,0,0,0,0,460.72
2024-11-01 09:00:22,32.2077186,60.43833666,10.34081458,3,0,0,0,0,452.362
2024-11-01 09:06:10,32.20657932,60.44374822,10.33884933,3,0,0,0,0,468.47
2024-11-01 09:12:10,32.20544005,60.44915978,10.33688408,3,0,0,0,0,454.921
2024-11-01 09:18:23,32.20430077,60.45457135,10.33491883,3,0,0,0,0,451.372
2024-11-01 09:24:52,32.20316149,60.45998291,10.33295357,3,0,0,0,0,455.531
2024-11-01 09:30:35,32.20202222,60.46539447,10.33098832,3,0,0,0,0,458.732
2024-11-01 09:36:39,32.20088294,60.47080604,10.32902307,3,0,0,0,0,441.591
2024-11-01 09:42:23,32.19974366,60.4762176,10.32705782,3,0,0,0,0,443.08
2024-11-01 09:48:02,32.19860439,60.48162917,10.32509257,3,0,0,0,0,453.451
2024-11-01 09:54:21,32.19746511,60.48704073,10.32312731,3,0,0,0,0,440.517
2024-11-01 10:00:52,32.19632583,60.49245229,10.32116206,3,0,0,0,0,438.602
2024-11-01 10:06:01,32.19518656,60.49786386,10.31919681,3,0,0,0,0,458.801
2024-11-01 10:12:23,32.19404728,60.50327542,10.31723156,3,0,0,0,0,465.939
2024-11-01 10:18:43,32.192908,60.50868698,10.31526631,3,0,0,0,0,467.025
2024-11-01 10:24:29,32.19176873,60.51409855,10.31330105,3,0,0,0,0,451.851
2024-11-01 10:30:37,32.19062945,60.51951011,10.3113358,3,0,0,0,0,468.108
2024-11-01 10:36:01,32.18949017,60.52492167,10.30937055,3,0,0,0,0,443.373
2024-11-01 10:42:59,32.1883509,60.53033324,10.3074053,3,0,0,0,0,435.31
2024-11-01 10:48:20,32.18721162,60.5357448,10.30544005,3,0,0,0,0,435.837
2024-11-01 10:54:32,32.18607234,60.54115637,10.30347479,3,0,0,0,0,441.963
2024-11-01 11:00:11,32.18493307,60.54656793,10.30150954,3,0,0,0,0,459.782
2024-11-01 11:06:57,32.18379379,60.55197949,10.29954429,3,0,0,0,0,434.119
2024-11-01 11:12:21,32.18265451,60.55739106,10.29757904,3,0,0,0,0,440.045
2024-11-01 11:18:43,32.18151524,60.56280262,10.29561379,3,0,0,0,0,463.276
2024-11-01 11:24:24,32.18037596,60.56821418,10.29364853,3,0,0,0,0,461.583
2024-11-01 11:30:48,32.17923668,60.57362575,10.29168328,3,0,0,0,0,438.825
2024-11-01 11:36:26,32.17809741,60.57903731,10.28971803,3,0,0,0,0,454.609
2024-11-01 11:42:58,32.17695813,60.58444887,10.28775278,3,0,0,0,0,436.898
2024-11-01 11:48:41,32.17581886,60.58986044,10.28578752,3,0,0,0,0,466.093
2024-11-01 11:54:27,32.17467958,60.595272,10.28382227,3,0,0,0,0,443.45
2024-11-01 12:00:59,32.1735403,60.60068357,10.28185702,3,0,0,0,0,437.101
2024-11-01 12:06:15,32.17240103,60.60609513,10.27989177,3,0,0,0,0,459.721
2024-11-01 12:12:14,32.17126175,60.61150669,10.27792652,3,0,0,0,0,455.965
2024-11-01 12:18:46,32.17012247,60.61691826,10.27596126,3,0,0,0,0,433.72
2024-11-01 12:24:50,32.1689832,60.62232982,10.27399601,3,0,0,0,0,455.739
2024-11-01 12:30:43,32.16784392,60.62774138,10.27203076,3,0,0,0,0,430.862
2024-11-01 12:36:54,32.16670464,60.63315295,10.27006551,3,0,0,0,0,459.122
2024-11-01 12:42:51,32.16556537,60.63856451,10.26810026,3,0,0,0,0,448.953
2024-11-01 12:48:56,32.16442609,60.64397608,10.266135,3,0,0,0,0,461.007
2024-11-01 12:54:02,32.16328681,60.64938764,10.26416975,3,0,0,0,0,467.049
2024-11-01 13:00:36,32.16214754,60.6547992,10.2622045,3,0,0,0,0,455.151
2024-11-01 13:06:50,32.16100826,60.66021077,10.26023925,3,0,0,0,0,433.158
2024-11-01 13:12:06,32.15986898,60.66562233,10.258274,3,0,0,0,0,437.733
2024-11-01 13:18:20,32.15872971,60.67103389,10.25630874,3,0,0,0,0,465.927
2024-11-01 13:24:08,32.15759043,60.67644546,10.25434349,3,0,0,0,0,459.205
2024-11-01 13:30:38,32.15645115,60.68185702,10.25237824,3,0,0,0,0,458.473
2024-11-01 13:36:17,32.15531188,60.68726858,10.25041299,3,0,0,0,0,443.634
2024-11-01 13:42:03,32.1541726,60.69268015,10.24844774,3,0,0,0,0,442.251
2024-11-01 13:48:24,32.15303332,60.69809171,10.24648248,3,0,0,0,0,439.619
2024-11-01 13:54:59,32.15189405,60.70350328,10.24451723,3,0,0,0,0,458.051
2024-11-01 14:00:13,32.15075477,60.70891484,10.24255198,3,0,0,0,0,451.308
2024-11-01 14:06:49,32.14961549,60.7143264,10.24058673,3,0,0,0,0,468.308
2024-11-01 14:12:57,32.14847622,60.71973797,10.23862148,3,0,0,0,0,467.015
2024-11-01 14:18:08,32.14733694,60.72514953,10.23665622,3,0,0,0,0,448.302
2024-11-01 14:24:25,32.14619766,60.73056109,10.23469097,3,0,0,0,0,463.344
2024-11-01 14:30:52,32.14505839,60.73597266,10.23272572,3,0,0,0,0,436.247
2024-11-01 14:36:01,32.14391911,60.74138422,10.23076047,3,0,0,0,0,460.835
2024-11-01 14:42:19,32.14277983,60.74679578,10.22879522,3,0,0,0,0,467.365
2024-11-01 14:48:27,32.14164056,60.75220735,10.22682996,3,0,0,0,0,449.96
2024-11-01 14:54:46,32.14050128,60.75761891,10.22486471,3,0,0,0,0,448.656
2024-11-01 15:00:59,32.13936201,60.76303048,10.22289946,3,0,0,0,0,467.376
2024-11-01 15:06:06,32.13822273,60.76844204,10.22093421,3,0,0,0,0,441.049
2024-11-01 15:12:43,32.13708345,60.7738536,10.21896895,3,0,0,0,0,437.929
2024-11-01 15:18:07,32.13594418,60.77926517,10.2170037,3,0,0,0,0,461.292
2024-11-01 15:24:46,32.1348049,60.78467673,10.21503845,3,0,0,0,0,467.157
2024-11-01 15:30:34,32.13366562,60.79008829,10.2130732,3,0,0,0,0,439.544
2024-11-01 15:36:13,32.13252635,60.79549986,10.21110795,3,0,0,0,0,451.256
2024-11-01 15:42:16,32.13138707,60.80091142,10.20914269,3,0,0,0,0,432.461
2024-11-01 15:48:35,32.13024779,60.80632298,10.20717744,3,0,0,0,0,461.915
2024-11-01 15:54:49,32.12910852,60.81173455,10.20521219,3,0,0,0,0,433.321
2024-11-01 16:00:39,32.12796924,60.81714611,10.20324694,3,0,0,0,0,440.483
2024-11-01 16:06:03,32.12682996,60.82255768,10.20128169,3,0,0,0,0,434.781
2024-11-01 16:12:01,32.12569069,60.82796924,10.19931643,3,0,0,0,0,450.046
2024-11-01 16:18:05,32.12455141,60.8333808,10.19735118,3,0,0,0,0,456.245
2024-11-01 16:24:53,32.12341213,60.83879237,10.19538593,3,0,0,0,0,458.156
2024-11-01 16:30:41,32.12227286,60.84420393,10.19342068,3,0,0,0,0,450.833
2024-11-01 16:36:03,32.12113358,60.84961549,10.19145543,3,0,0,0,0,462.468
2024-11-01 16:42:53,32.1199943,60.85502706,10.18949017,3,0,0,0,0,455.26
2024-11-01 16:48:28,32.11885503,60.86043862,10.18752492,3,0,0,0,0,468.223
2024-11-01 16:54:17,32.11771575,60.86585019,10.18555967,3,0,0,0,0,438.919
2024-11-02 08:00:25,32.11657647,60.87126175,10.18359442,3,0,0,0,0,444.317
2024-11-02 08:06:43,32.1154372,60.87667331,10.18162917,3,0,0,0,0,456.924
2024-11-02 08:12:33,32.11429792,60.88208488,10.17966391,3,0,0,0,0,463.9
2024-11-02 08:18:09,32.11315864,60.88749644,10.17769866,3,0,0,0,0,441.933
2024-11-02 08:24:35,32.11201937,60.892908,10.17573341,3,0,0,0,0,466.442
2024-11-02 08:30:13,32.11088009,60.89831957,10.17376816,3,0,0,0,0,448.306
2024-11-02 08:36:30,32.10974081,60.90373113,10.17180291,3,0,0,0,0,444.423
2024-11-02 08:42:47,32.10860154,60.90914269,10.16983765,3,0,0,0,0,430.158
2024-11-02 08:48:14,32.10746226,60.91455426,10.1678724,3,0,0,0,0,455.512
2024-11-02 08:54:07,32.10632298,60.91996582,10.16590715,3,0,0,0,0,436.4
2024-11-02 09:00:13,32.10518371,60.92537739,10.1639419,3,0,0,0,0,462.709
2024-11-02 09:06:22,32.10404443,60.93078895,10.16197664,3,0,0,0,0,452.554
2024-11-02 09:12:59,32.10290516,60.93620051,10.16001139,3,0,0,0,0,456.835
2024-11-02 09:18:56,32.10176588,60.94161208,10.15804614,3,0,0,0,0,431.745
2024-11-02 09:24:39,32.1006266,60.94702364,10.15608089,3,0,0,0,0,443.007
2024-11-02 09:30:20,32.09948733,60.9524352,10.15411564,3,0,0,0,0,440.668
2024-11-02 09:36:15,32.09834805,60.95784677,10.15215038,3,0,0,0,0,452.12
2024-11-02 09:42:44,32.09720877,60.96325833,10.15018513,3,0,0,0,0,464.712
2024-11-02 09:48:17,32.0960695,60.96866989,10.14821988,3,0,0,0,0,449.351
2024-11-02 09:54:46,32.09493022,60.97408146,10.14625463,3,0,0,0,0,444.736
2024-11-02 10:00:52,32.09379094,60.97949302,10.14428938,3,0,0,0,0,463.182
2024-11-02 10:06:23,32.09265167,60.98490459,10.14232412,3,0,0,0,0,464.757
2024-11-02 10:12:25,32.09151239,60.99031615,10.14035887,3,0,0,0,0,462.332
2024-11-02 10:18:24,32.09037311,60.99572771,10.13839362,3,0,0,0,0,456.64
2024-11-02 10:24:59,32.08923384,61.00113928,10.13642837,3,0,0,0,0,454.988
2024-11-02 10:30:59,32.08809456,61.00655084,10.13446312,3,0,0,0,0,466.876
2024-11-02 10:36:59,32.08695528,61.0119624,10.13249786,3,0,0,0,0,463.662
2024-11-02 10:42:44,32.08581601,61.01737397,10.13053261,3,0,0,0,0,455.061
2024-11-02 10:48:40,32.08467673,61.02278553,10.12856736,3,0,0,0,0,446.412
2024-11-02 10:54:28,32.08353745,61.02819709,10.12660211,3,0,0,0,0,469.596
2024-11-02 11:00:14,32.08239818,61.03360866,10.12463686,3,0,0,0,0,453.54
2024-11-02 11:06:44,32.0812589,61.03902022,10.1226716,3,0,0,0,0,465.064
2024-11-02 11:12:00,32.08011962,61.04443179,10.12070635,3,0,0,0,0,467.555
2024-11-02 11:18:24,32.07898035,61.04984335,10.1187411,3,0,0,0,0,467.041
2024-11-02 11:24:06,32.07784107,61.05525491,10.11677585,3,0,0,0,0,440.385
2024-11-02 11:30:08,32.07670179,61.06066648,10.1148106,3,0,0,0,0,461.162
2024-11-02 11:36:23,32.07556252,61.06607804,10.11284534,3,0,0,0,0,455.203
2024-11-02 11:42:00,32.07442324,61.0714896,10.11088009,3,0,0,0,0,464.683
2024-11-02 11:48:43,32.07328396,61.07690117,10.10891484,3,0,0,0,0,446.272
2024-11-02 11:54:07,32.07214469,61.08231273,10.10694959,3,0,0,0,0,432.35
2024-11-02 12:00:23,32.07100541,61.0877243,10.10498433,3,0,0,0,0,449.081
2024-11-02 12:06:10,32.06986614,61.09313586,10.10301908,3,0,0,0,0,439.683
2024-11-02 12:12:50,32.06872686,61.09854742,10.10105383,3,0,0,0,0,443.803
2024-11-02 12:18:16,32.06758758,61.10395899,10.09908858,3,0,0,0,0,436.369
2024-11-02 12:24:07,32.06644831,61.10937055,10.09712333,3,0,0,0,0,431.716
2024-11-02 12:30:34,32.06530903,61.11478211,10.09515807,3,0,0,0,0,439.752
2024-11-02 12:36:34,32.06416975,61.12019368,10.09319282,3,0,0,0,0,459.042
2024-11-02 12:42:32,32.06303048,61.12560524,10.09122757,3,0,0,0,0,456.288
2024-11-02 12:48:58,32.0618912,61.1310168,10.08926232,3,0,0,0,0,438.221
2024-11-02 12:54:04,32.06075192,61.13642837,10.08729707,3,0,0,0,0,454.55
2024-11-02 13:00:41,32.05961265,61.14183993,10.08533181,3,0,0,0,0,459.206
2024-11-02 13:06:38,32.05847337,61.1472515,10.08336656,3,0,0,0,0,469.702
2024-11-02 13:12:57,32.05733409,61.15266306,10.08140131,3,0,0,0,0,444.746
2024-11-02 13:18:40,32.05619482,61.15807462,10.07943606,3,0,0,0,0,465.153
2024-11-02 13:24:27,32.05505554,61.16348619,10.07747081,3,0,0,0,0,456.952
2024-11-02 13:30:06,32.05391626,61.16889775,10.07550555,3,0,0,0,0,433.447
2024-11-02 13:36:08,32.05277699,61.17430931,10.0735403,3,0,0,0,0,465.057
2024-11-02 13:42:07,32.05163771,61.17972088,10.07157505,3,0,0,0,0,461.16
2024-11-02 13:48:11,32.05049843,61.18513244,10.0696098,3,0,0,0,0,439.363
2024-11-02 13:54:33,32.04935916,61.190544,10.06764455,3,0,0,0,0,440.131
2024-11-02 14:00:32,32.04821988,61.19595557,10.06567929,3,0,0,0,0,438.483
